id_producto,total_venta,total_costo,utilidad,margen
FUR-BO-10002679,2885.64,2041.92,843.72,0.2987
FUR-BO-10002680,833.4,790.2,43.2,-0.2291
FUR-BO-10002682,998.17,917.91,80.26,0.0709
FUR-BO-10002708,5056.12,5827.68,-771.56,-0.1373
FUR-BO-10002736,3310.79,3083.25,227.54,0.0135
FUR-BO-10002738,743.11,1017.45,-274.34,-0.4922
FUR-BO-10002740,3947.62,3306.24,641.38,0.1066
FUR-BO-10002766,6933.02,7395.36,-462.34,-0.1429
FUR-BO-10002781,3444.07,2820.03,624.04,0.1773
FUR-BO-10002782,1813.45,1260.86,552.59,0.2817
FUR-BO-10002793,1810.01,983.7,826.31,0.3333
FUR-BO-10002812,3612.64,2975.97,636.67,0.1872
FUR-BO-10002819,2865.92,2176.5,689.42,0.1973
FUR-BO-10002824,748.86,724.7,24.16,0.0078
FUR-BO-10002852,252.06,239.46,12.6,0.05
FUR-BO-10002853,540.8,553.1,-12.29,0.0156
FUR-BO-10002866,1582.2,2452.5,-870.3,-0.5501
FUR-BO-10002889,1340.39,804.24,536.15,0.4
FUR-BO-10002892,8549.0,6557.76,1991.24,0.2146
FUR-BO-10002906,754.77,803.22,-48.45,-0.0384
FUR-BO-10002916,2487.76,2077.41,410.35,0.1543
FUR-BO-10002926,741.06,659.7,81.36,0.1098
FUR-BO-10002936,1388.02,743.76,644.26,0.4665
FUR-BO-10002964,1928.91,2253.6,-324.69,-0.2247
FUR-BO-10002968,1455.12,1426.04,29.08,-0.0325
FUR-BO-10002975,984.54,981.44,3.1,-0.0135
FUR-BO-10002981,2386.57,2318.8,67.77,0.0083
FUR-BO-10002985,1438.27,1069.98,368.29,0.2648
FUR-BO-10002990,9197.71,5284.44,3913.27,0.4364
FUR-BO-10002992,4348.8,4465.02,-116.22,-0.1123
FUR-BO-10003007,2806.92,2255.76,551.16,0.1871
FUR-BO-10003022,1550.01,1007.82,542.19,0.3498
FUR-BO-10003028,3384.0,2396.16,987.84,0.2897
FUR-BO-10003029,3345.25,3244.59,100.66,-0.1121
FUR-BO-10003034,3828.64,3849.54,-20.9,-0.0205
FUR-BO-10003043,633.47,564.48,68.99,0.0898
FUR-BO-10003046,6120.04,4943.16,1176.88,0.1699
FUR-BO-10003078,269.03,278.01,-8.98,-0.0334
FUR-BO-10003086,2175.03,1730.7,444.33,0.1086
FUR-BO-10003103,11612.19,11637.23,-25.04,-0.0632
FUR-BO-10003106,2935.2,2694.84,240.36,-0.0416
FUR-BO-10003112,778.32,474.84,303.48,0.3899
FUR-BO-10003126,4348.8,4193.28,155.52,0.0358
FUR-BO-10003159,3630.98,3601.28,29.69,-0.0356
FUR-BO-10003174,182.08,368.72,-186.64,-1.025
FUR-BO-10003181,89.35,148.92,-59.57,-0.6667
FUR-BO-10003185,1358.4,1344.96,13.44,0.0099
FUR-BO-10003199,3044.8,2402.68,642.12,0.1346
FUR-BO-10003206,3644.3,3526.8,117.5,-0.06
FUR-BO-10003221,1823.76,1808.94,14.82,-0.11
FUR-BO-10003272,3420.77,4176.52,-755.75,-0.1912
FUR-BO-10003282,8078.26,5634.6,2443.66,0.2947
FUR-BO-10003284,1156.32,1214.16,-57.84,-0.0748
FUR-BO-10003287,1155.6,1013.4,142.2,-0.0147
FUR-BO-10003291,1328.73,1304.56,24.17,-0.0584
FUR-BO-10003297,2365.0,2516.64,-151.64,-0.1678
FUR-BO-10003301,5501.52,4592.04,909.48,0.1417
FUR-BO-10003320,3008.28,2330.16,678.12,0.2308
FUR-BO-10003323,2444.74,1685.5,759.24,0.2525
FUR-BO-10003326,1029.18,914.4,114.78,0.0247
FUR-BO-10003333,1316.52,1119.15,197.37,0.1499
FUR-BO-10003383,398.52,282.96,115.56,0.29
FUR-BO-10003384,1242.91,988.35,254.56,0.2158
FUR-BO-10003386,338.4,203.04,135.36,0.4
FUR-BO-10003404,3447.84,3240.97,206.87,0.06
FUR-BO-10003408,2484.67,2156.88,327.79,0.1359
FUR-BO-10003433,322.19,403.36,-81.17,-0.3175
FUR-BO-10003438,3768.42,3381.04,387.38,0.0601
FUR-BO-10003441,1473.3,1399.58,73.72,0.0278
FUR-BO-10003450,649.38,746.78,-97.41,-0.6356
FUR-BO-10003463,1594.66,2164.4,-569.74,-0.5439
FUR-BO-10003499,4328.25,5714.5,-1386.25,-0.4394
FUR-BO-10003530,1212.38,1552.2,-339.82,-0.2563
FUR-BO-10003541,7748.23,5440.8,2307.43,0.2875
FUR-BO-10003543,1966.03,1174.36,791.67,0.3846
FUR-BO-10003546,1474.31,1666.17,-191.86,-0.2679
FUR-BO-10003549,6137.49,5443.02,694.47,0.1078
FUR-BO-10003554,3080.96,3080.16,0.8,0.0078
FUR-BO-10003559,2269.97,1666.98,602.99,0.2273
FUR-BO-10003563,1984.1,1733.6,250.5,0.0355
FUR-BO-10003589,101.61,94.86,6.75,0.0664
FUR-BO-10003604,1255.8,1092.6,163.2,0.13
FUR-BO-10003631,1549.39,1396.5,152.89,0.1366
FUR-BO-10003647,826.2,809.7,16.5,0.02
FUR-BO-10003660,729.23,680.62,48.62,-0.3689
FUR-BO-10003661,1362.06,1021.65,340.41,0.2499
FUR-BO-10003668,156.74,352.68,-195.94,-1.25
FUR-BO-10003688,1193.08,926.06,267.02,0.1903
FUR-BO-10003697,3985.2,3682.35,302.85,0.0809
FUR-BO-10003706,3080.45,1772.61,1307.84,0.3256
FUR-BO-10003713,958.85,1162.8,-203.95,-0.2936
FUR-BO-10003734,6768.63,4947.48,1821.15,0.2927
FUR-BO-10003738,4196.58,3372.12,824.46,0.1957
FUR-BO-10003768,1555.68,1738.34,-182.66,-0.1619
FUR-BO-10003779,3851.93,2238.72,1613.21,0.4088
FUR-BO-10003783,6492.94,5965.8,527.14,0.0552
FUR-BO-10003793,2619.5,1680.21,939.29,0.2998
FUR-BO-10003828,2113.88,1622.88,491.0,0.2504
FUR-BO-10003873,3556.94,2275.5,1281.44,0.3475
FUR-BO-10003878,1367.82,851.1,516.72,0.3778
FUR-BO-10003880,230.38,455.14,-224.76,-0.9756
FUR-BO-10003881,3784.32,2484.0,1300.32,0.3499
FUR-BO-10003887,4198.88,4905.9,-707.02,-0.2072
FUR-BO-10003893,1368.26,1471.74,-103.48,-0.0588
FUR-BO-10003894,802.07,695.6,106.47,0.1176
FUR-BO-10003903,2042.04,2079.36,-37.32,-0.1528
FUR-BO-10003904,861.42,763.2,98.22,-0.025
FUR-BO-10003905,3252.6,1952.1,1300.5,0.3354
FUR-BO-10003913,2720.97,2706.0,14.97,-0.08
FUR-BO-10003945,3789.65,2375.88,1413.77,0.3539
FUR-BO-10003965,1646.92,1932.87,-285.95,-0.1943
FUR-BO-10003966,1427.68,1436.23,-8.55,-0.0041
FUR-BO-10003968,1833.7,1658.25,175.46,0.1027
FUR-BO-10003985,1046.38,1098.72,-52.34,-0.05
FUR-BO-10003991,7015.56,4383.18,2632.38,0.3706
FUR-BO-10004015,3317.72,3182.13,135.59,0.0288
FUR-BO-10004032,133.7,213.92,-80.22,-0.6
FUR-BO-10004043,6153.3,6030.45,122.85,0.02
FUR-BO-10004053,5572.64,4234.14,1338.5,0.2364
FUR-BO-10004055,2010.42,2122.11,-111.69,-0.0667
FUR-BO-10004075,1883.52,2590.0,-706.48,-0.3861
FUR-BO-10004080,1838.7,1545.0,293.7,0.1772
FUR-BO-10004082,2380.46,1541.52,838.94,0.2789
FUR-BO-10004098,396.58,480.96,-84.38,-0.2128
FUR-BO-10004103,291.0,363.78,-72.78,-0.2501
FUR-BO-10004113,7172.38,4172.58,2999.8,0.416
FUR-BO-10004119,5399.78,5925.18,-525.4,-0.2245
FUR-BO-10004129,3498.72,3630.0,-131.28,-0.245
FUR-BO-10004135,490.32,451.2,39.12,0.0798
FUR-BO-10004142,6426.2,4308.5,2117.7,0.3327
FUR-BO-10004161,2146.87,2479.8,-332.93,-0.1987
FUR-BO-10004162,2769.93,1891.12,878.81,0.2694
FUR-BO-10004191,1524.49,1348.38,176.11,0.1115
FUR-BO-10004199,2084.96,2371.5,-286.54,-0.2127
FUR-BO-10004218,3626.01,3834.66,-208.65,-0.0782
FUR-BO-10004219,2642.31,1859.97,782.34,0.1091
FUR-BO-10004230,1629.54,1019.76,609.78,0.3837
FUR-BO-10004238,66.35,86.28,-19.93,-0.3003
FUR-BO-10004254,6093.9,4595.4,1498.5,0.2422
FUR-BO-10004312,318.56,250.08,68.48,0.215
FUR-BO-10004316,549.94,532.68,17.26,0.0287
FUR-BO-10004327,1123.35,1240.2,-116.85,-0.1098
FUR-BO-10004340,6521.92,7814.8,-1292.88,-0.2568
FUR-BO-10004357,2904.16,3074.99,-170.83,-0.2044
FUR-BO-10004360,489.38,560.21,-70.83,-0.0747
FUR-BO-10004371,549.48,865.5,-316.02,-0.5751
FUR-BO-10004388,4789.62,3483.45,1306.17,0.1822
FUR-BO-10004399,1767.63,1947.24,-179.61,-0.1134
FUR-BO-10004404,1483.91,1476.93,6.98,-0.0935
FUR-BO-10004407,3214.88,3175.26,39.62,0.026
FUR-BO-10004408,1819.51,1947.84,-128.33,-0.0728
FUR-BO-10004409,858.86,868.8,-9.94,-0.0376
FUR-BO-10004423,1592.45,992.22,600.23,0.3426
FUR-BO-10004425,4525.74,4151.28,374.46,-0.0661
FUR-BO-10004430,2851.19,2796.66,54.53,-0.0786
FUR-BO-10004434,363.39,352.5,10.89,0.03
FUR-BO-10004441,3434.98,3577.82,-142.84,-0.16
FUR-BO-10004445,2268.54,1991.4,277.14,-0.1302
FUR-BO-10004452,2925.81,1755.6,1170.21,0.3816
FUR-BO-10004459,1620.86,1641.24,-20.38,-0.0351
FUR-BO-10004467,1897.81,2510.75,-612.94,-0.4671
FUR-BO-10004472,5141.0,3152.76,1988.24,0.3697
FUR-BO-10004483,1236.17,1181.28,54.89,0.0444
FUR-BO-10004504,3361.44,3381.06,-19.62,-0.0126
FUR-BO-10004507,994.86,1003.59,-8.73,-0.1111
FUR-BO-10004508,1843.84,1069.44,774.4,0.42
FUR-BO-10004529,3999.11,3844.62,154.49,0.0005
FUR-BO-10004537,1194.5,866.4,328.1,0.2568
FUR-BO-10004541,5495.7,4846.56,649.14,0.1096
FUR-BO-10004547,3271.0,2583.0,688.0,0.2128
FUR-BO-10004558,2126.42,1727.1,399.32,0.0133
FUR-BO-10004560,2554.71,1955.25,599.46,0.2222
FUR-BO-10004565,1551.56,1252.22,299.34,0.1124
FUR-BO-10004567,2039.14,1714.8,324.34,0.0518
FUR-BO-10004585,2506.94,1488.84,1018.1,0.404
FUR-BO-10004620,1057.76,1180.17,-122.41,-0.3855
FUR-BO-10004630,4573.88,4519.32,54.55,-0.0204
FUR-BO-10004633,1901.52,1829.1,72.42,0.0378
FUR-BO-10004648,6476.52,5621.22,855.3,0.1286
FUR-BO-10004660,2670.92,2334.42,336.5,0.0569
FUR-BO-10004665,8088.1,5057.64,3030.46,0.3302
FUR-BO-10004670,729.84,605.82,124.02,0.1699
